batch_size,init_id,best_epoch,early_stop_time,train_acc,train_auc,test_acc,test_auc,avg_epoch_time,std_epoch_time
1024,0,58,306.5430273469994,0.7942135630069403,0.9651658974648145,0.7869044139140602,0.9648124302858597,4.507985696279403,0.40524678382341967
1024,1,49,263.39292894800053,0.7779914708587674,0.9624722464522314,0.7810581701256942,0.9607068068987809,4.464286931322043,0.33902473522779075
1024,2,43,236.06623873199965,0.7243916715444435,0.9469356808906603,0.7223034200526162,0.9469079116505602,4.454079976075465,0.3703988480438303
512,0,63,340.9971385569995,0.8009030855422694,0.9657895039327601,0.7991815258696288,0.9637306618928008,4.671193678863007,0.40614404479181565
512,1,58,309.9090207989998,0.7788276611756836,0.9617758195573146,0.7819351066939492,0.9600689436938441,4.5574855999852915,0.3609951129419922
512,2,45,248.7138164049984,0.7917049920561919,0.9652516889680868,0.7898275358082432,0.9627013095438701,4.522069389181789,0.3786436638530697
256,0,48,279.6426014649992,0.7753156618446359,0.9590864896507958,0.7652733118971061,0.9553827771059863,4.821424163189641,0.3828362046563484
256,1,51,295.4537920180028,0.7927084204364914,0.96314744148023,0.7971353405437007,0.9621657217451368,4.843504787180374,0.3863378048351234
256,2,46,268.2559780679985,0.7907851827075842,0.9590429603778567,0.7804735457468577,0.9573681631339435,4.790285322642831,0.4025799705653262
128,0,49,323.18934908400115,0.7841792792039468,0.9596382908542016,0.77491961414791,0.9584293345036747,5.4777855776949345,0.4317422181042286
128,1,44,295.7016609649995,0.7901162304540513,0.9608241212514858,0.7787196726103478,0.9559415694488991,5.475956684537028,0.41269252048425764
128,2,44,300.0856503029995,0.7850990885525546,0.9634557697208217,0.7825197310727857,0.9617460225329325,5.557141672277769,0.4288151645765874
64,0,45,412.10326485999894,0.7807508989045907,0.9598223675723325,0.7795966091786027,0.9582186674536054,7.492786633818163,0.4083924983853036
64,1,43,398.43364713099345,0.7626055690275106,0.9527229858802628,0.7570885705933937,0.9518143352807951,7.51761598360365,0.41807099850800716
64,2,43,401.5332004199963,0.7726398528305042,0.9554028947512567,0.763227126571178,0.9524981097816863,7.576098121132006,0.4231670421394789
32,0,42,619.2027120270031,0.7072497700476629,0.9412263301728574,0.715287927506577,0.939531762535672,11.907744462057753,0.20864861961273864
32,1,42,626.5728586289979,0.7110126264737854,0.9350009241013941,0.6980415083308974,0.9321263600196272,12.049478050557651,0.24235040554768347
32,2,51,733.849595388002,0.7189564344844886,0.9375052815763368,0.7035954399298451,0.936499673524253,12.030321235868884,0.20594284183432654
16,0,43,1085.038858648999,0.6849234885860022,0.9191424000800548,0.6802104647763811,0.9195497592485083,20.47243129526413,0.4349959340231278
16,1,42,1073.3922372120032,0.659670541015135,0.9097605250613583,0.6647179187372113,0.9078991165328002,20.64215840792314,0.4587647883855417
16,2,47,1148.1597901720052,0.6849234885860022,0.9276071228175211,0.6872259573224203,0.9254717087713841,20.14315421354395,0.4138475329908697
