epsilon_param,init_id,best_epoch,early_stop_time,train_acc,train_auc,test_acc,test_auc,avg_epoch_time,std_epoch_time
0.01,0,47,322.5433808399998,0.14323940128773308,0.4697374136533054,0.14732534346682258,0.4721265804639212,5.6586558042105235,0.4796848200351256
0.01,1,46,316.8838107470001,0.28246508905426876,0.534046905126021,0.28325051154633146,0.5306905091119132,5.658639477625002,0.43528746848001276
0.01,2,42,295.6596775620003,0.1907350112885693,0.5512031855821267,0.19526454253142356,0.5633365553348393,5.685763030038467,0.4433077923575234
0.016237767391887217,0,43,302.9068059180006,0.12066226273099757,0.5991787786590933,0.12364805612394036,0.597082982811701,5.715222753169822,0.471817675927509
0.016237767391887217,1,42,292.8391536420004,0.18036625135880927,0.5307415100272838,0.182987430575855,0.5180541307698125,5.631522185423084,0.4516913607505796
0.016237767391887217,2,44,310.55904956400127,0.16757253950999249,0.47944846196149393,0.16778719672610348,0.4836945684521995,5.751093510444468,0.45350319519400945
0.026366508987303583,0,46,314.11090747199887,0.22777824232795385,0.5514192388315252,0.22624963460976322,0.5509619571752455,5.609123347714266,0.42519735956964205
0.026366508987303583,1,45,305.3237728670001,0.21548624466928673,0.5962266625811037,0.2087109032446653,0.593045598943863,5.551341324854548,0.43808812067446395
0.026366508987303583,2,60,390.42208830300206,0.27092566268082613,0.6209294200412672,0.27097339959076294,0.6216625123123327,5.577458404328601,0.4376291278634498
0.04281332398719394,0,45,302.4650336639984,0.2903252780332804,0.6429374504786372,0.28880444314527914,0.6385262703292275,5.4993642484363345,0.43460022710833984
0.04281332398719394,1,42,289.8284838530071,0.19466510577807508,0.6029501202241547,0.19467991815258695,0.6082571470488829,5.573624689480907,0.4398476647591244
0.04281332398719394,2,50,330.82632430000285,0.3229367003930094,0.5998424818430057,0.3320666471791874,0.6094231111194157,5.513772071666714,0.4260334001653093
0.06951927961775606,0,47,316.0527872770017,0.3715193578058366,0.6794039094300628,0.3735749780765858,0.6805494325558483,5.5447857417017845,0.4396149359257428
0.06951927961775606,1,42,290.36372144300094,0.4047997324190986,0.7364962389847931,0.3992984507453961,0.7338380973782417,5.583917720057711,0.4390391651240843
0.06951927961775606,2,48,326.2421525940008,0.3823898319257463,0.6553076750982815,0.3878982753580824,0.6586275028195356,5.624864699896565,0.420660241585061
0.11288378916846889,0,43,299.22971995599346,0.39342754410903924,0.7256961911200108,0.38819058754750074,0.727398080209271,5.645843772754594,0.42214568067782543
0.11288378916846889,1,42,294.62004777300626,0.3896646876829166,0.7737885551300139,0.38263665594855306,0.7706962321105915,5.66577014948089,0.4531666941392551
0.11288378916846889,2,48,330.1499119329974,0.42846391838782505,0.7834194347736119,0.43262204033908214,0.7848851550783702,5.692239860913748,0.4492707809517968
0.18329807108324356,0,47,315.4184218560049,0.4968642863115645,0.8214791315125057,0.4922537269804151,0.8163820444655059,5.53365652378956,0.44077912767125865
0.18329807108324356,1,47,322.7272649220031,0.5106614265406807,0.8504638381082352,0.5135925168079509,0.8547795454758282,5.661881840736896,0.41477906068767856
0.18329807108324356,2,46,317.3904145799961,0.48616105025503803,0.8334477234110561,0.4881613563285589,0.8277562602362901,5.6676859746427874,0.4358007730119392
0.29763514416313175,0,47,322.55125552900336,0.520110377121833,0.8470576933692382,0.5100847705349313,0.8469811171449946,5.658793956649181,0.4269166555500493
0.29763514416313175,1,45,309.58640796099735,0.5307299941466678,0.8784553398063848,0.5366851797719965,0.8770792906116316,5.628843781109043,0.4351659156175269
0.29763514416313175,2,58,380.8496438899947,0.6036457897817543,0.8903485160345793,0.5989476761180941,0.8885994501833769,5.600730057205804,0.43376843096219087
0.4832930238571752,0,52,345.3742708700047,0.7080859603645789,0.9361013872388237,0.7085647471499561,0.9337981106852228,5.570552755967817,0.4469300699717608
