init_id,best_epoch,early_stop_time,train_acc,train_auc,test_acc,test_auc,avg_epoch_time,std_epoch_time
0,49,250.5423711490006,1.0,1.0,0.9462145571470331,0.9966672389449999,4.246480866932213,0.3301779590733825
1,42,218.00085260100002,1.0,1.0,0.9467991815258696,0.9963914517428907,4.1923240884807695,0.32568054709689986
2,42,216.77042739399894,1.0,1.0,0.9503069277988893,0.997027778494196,4.168662065269211,0.3238816036349231
