learning_rate,init_id,best_epoch,early_stop_time,train_acc,train_auc,test_acc,test_auc,avg_epoch_time,std_epoch_time
9.999999999999999e-06,0,42,293.4902853249998,0.2017727234718622,0.7745225300065738,0.20169541069862612,0.7742108361990984,5.644043948557688,0.4851366816065889
9.999999999999999e-06,1,64,416.3673501999996,0.4167572539509993,0.7252501724525399,0.40952937737503653,0.7190355688183381,5.626585813513508,0.4314587206810409
9.999999999999999e-06,2,48,329.2323874910003,0.3516180282632327,0.7226968515543094,0.3455130078924291,0.7216315859048197,5.6764204739827635,0.42831740238444965
1.623776739188721e-05,0,87,547.0677459370002,0.4371602976837528,0.8677645624988822,0.4405144694533762,0.8684326711613213,5.63987366945361,0.4332153187697368
1.623776739188721e-05,1,65,419.66692565400035,0.3857345931934108,0.801712347946105,0.38555977784273604,0.8021946930850266,5.595559008720005,0.44076813717526253
1.623776739188721e-05,2,61,400.07783021699834,0.24525461995150097,0.7682400584495063,0.2551885413621748,0.7740500779308058,5.634899017140822,0.46073631786084457
2.6366508987303556e-05,0,98,560.9008506030023,0.5079019984948574,0.8967854752821178,0.5059923998830751,0.8941292408539785,5.6090085060300225,0.4438456289336317
2.6366508987303556e-05,1,89,563.0752937540024,0.4867463834768793,0.8428589630561386,0.4907921660333236,0.839931969351936,5.687629229838407,0.44140294199793473
2.6366508987303556e-05,2,100,551.9235343200057,0.5549795133372356,0.904028110838177,0.556854720841859,0.9038366671334761,5.519235343200057,0.44137579580644537
4.281332398719396e-05,0,99,560.532170200996,0.6125094071410653,0.9234389996511916,0.6062554808535516,0.9217885638362353,5.60532170200996,0.435538842548365
4.281332398719396e-05,1,57,378.48912493499574,0.5803160799397943,0.8807666587290137,0.5738088278281205,0.8752866086305706,5.649091416940235,0.4486145967293124
4.281332398719396e-05,2,49,336.5580344560003,0.5650137971402291,0.9014453313364644,0.5641625255773166,0.9005026212721672,5.704373465355937,0.43132635124829444
6.951927961775606e-05,0,95,583.7885472239968,0.7041558658750732,0.9448914246409327,0.6995030692779889,0.941993217167571,5.837885472239968,0.47031655131693195
6.951927961775606e-05,1,55,387.34767328200087,0.5320678986537336,0.8955960562798364,0.5340543700672318,0.8984005526152988,5.959194973569244,0.43308337512729667
6.951927961775606e-05,2,84,561.159906728999,0.6809933940964964,0.9407417827256495,0.6831335866705641,0.937544193071519,5.969786241797862,0.4571598472250021
0.00011288378916846884,0,84,564.8009619300037,0.7331716698720628,0.9463071372784932,0.7342882198187665,0.9467286065010404,6.008520871595784,0.45348384704477107
0.00011288378916846884,1,87,568.7349066899942,0.6786520612091312,0.9325831278893212,0.6828412744811458,0.934108103800033,5.86324646072159,0.44176468162759347
0.00011288378916846884,2,92,589.5099561669977,0.7243916715444435,0.9434497083906987,0.7223034200526162,0.9422693609299599,5.895099561669976,0.4407342066164171
0.00018329807108324357,0,62,426.185801276999,0.7394430972489339,0.9508974441855772,0.7316574101140018,0.9491718389349525,5.919247239958319,0.44987743405202485
0.00018329807108324357,1,52,366.0946564340011,0.7232210051007609,0.9465577219153625,0.7225957322420344,0.9467756010691296,5.90475252312905,0.4375313569198655
0.00018329807108324357,2,47,337.1071921760031,0.7137720545196087,0.9410084577217516,0.712364805612394,0.9392837981257237,5.914161266245668,0.4485614959208903
0.00029763514416313193,0,48,342.1144608080049,0.7289070992557907,0.9507500391271918,0.729903536977492,0.9493266531914952,5.898525186344911,0.4380928448356198
0.00029763514416313193,1,48,341.5857788540052,0.7105945313153273,0.9413905406817495,0.7085647471499561,0.9408934629735867,5.889409980241469,0.43102846258726024
0.00029763514416313193,2,55,385.24891532900256,0.7484739526716281,0.9552144039164764,0.749488453668518,0.9555261046033294,5.9269063896769625,0.44600639996202046
0.0004832930238571752,0,53,373.5569117909945,0.767288234802241,0.9588538691884224,0.7702426191172171,0.9545554168449415,5.929474790333246,0.44006706388291666
0.0004832930238571752,1,48,345.060016195006,0.7507316665273016,0.9530347230783389,0.7547500730780473,0.9508558989947954,5.949310624051828,0.4300450046026544
0.0004832930238571752,2,42,308.3145420269975,0.7619366167739777,0.9579888001039911,0.7605963168664134,0.9569129934151028,5.929125808211491,0.4465248673725373
0.0007847599703514606,0,42,310.34598483100126,0.7853499456476294,0.9603901803481907,0.7825197310727857,0.9595289011586444,5.968192015980794,0.4416320492446528
0.0007847599703514606,1,54,381.7835447430043,0.7765699473200101,0.9594964864656823,0.7757965507161648,0.9577785748010457,5.965367886609442,0.44163801311087975
0.0007847599703514606,2,55,386.3013113429879,0.7770716615101597,0.9578786506313275,0.7743349897690733,0.9581378841368055,5.943097097584429,0.44087421744931615
0.0012742749857031334,0,53,375.1275147800079,0.8042478468099339,0.9670075103643155,0.791581408944753,0.962463991025662,5.954404996508062,0.4452100429974104
0.0012742749857031334,1,52,367.97129271900303,0.8101847980600385,0.9649511939099188,0.8038585209003215,0.964471436573544,5.9350208503065005,0.4258339961228839
0.0012742749857031334,2,45,330.2537412679958,0.778075089890459,0.9592883815345986,0.7781350482315113,0.9566764861905088,6.004613477599923,0.4489119066621228
0.00206913808111479,0,57,398.32192468700305,0.7630236641859687,0.9546589534166796,0.7559193218357205,0.9521327474664756,5.945103353537359,0.4462405899365709
0.00206913808111479,1,49,350.3159050060003,0.7530729994146668,0.9487705744263006,0.7383805904706227,0.94926360637104,5.937557711966107,0.4560036967466598
0.00206913808111479,2,45,325.68606952000664,0.7710510912283636,0.9566331663325256,0.7693656825489623,0.9556854571658988,5.921564900363757,0.45220449382512007
0.003359818286283781,0,45,326.0030213370046,0.699222343005268,0.9286037631985288,0.6919029523531132,0.9263908237750664,5.927327660672811,0.4368599709901332
0.003359818286283781,1,54,381.31506705199354,0.7149427209632913,0.9353536711519714,0.712364805612394,0.9367445654449735,5.958047922687399,0.423128038734104
0.003359818286283781,2,45,324.4582040039786,0.7212977673718538,0.9404794197149952,0.7179187372113417,0.9384881096241152,5.8992400727996115,0.43142752461256667
0.005455594781168515,0,45,329.5394333639997,0.6250522618948072,0.9000953942733956,0.6226249634609763,0.9005673713250198,5.991626061163631,0.42466761975482875
0.005455594781168515,1,56,396.36768089001635,0.6444518772472615,0.9103263933683449,0.6363636363636364,0.9104423385849651,6.005570922576005,0.4219257958444674
0.005455594781168515,2,48,346.99322453700734,0.6590852077932937,0.9161026630465309,0.6559485530546624,0.9153145222838812,5.9826418023621954,0.41536414785520825
0.008858667904100823,0,42,311.8098679560062,0.46232962622292834,0.7787038469297491,0.4621455714703303,0.773787177496742,5.9963436145385804,0.4036480981243582
0.008858667904100823,1,42,310.68455903798167,0.37887783259469854,0.7786440706162588,0.38468284127448116,0.7772716289317418,5.974703058422724,0.4051500608834314
0.008858667904100823,2,45,326.86067323699535,0.42704239484906764,0.763163492171128,0.42356036246711487,0.7618087532467638,5.942921331581734,0.42046067053626723
0.01438449888287663,0,43,314.8935171480043,0.35914374111547787,0.7182129322456616,0.3612978661210172,0.7225995068108226,5.941387116000081,0.4108353072355156
0.01438449888287663,1,47,336.90342841399615,0.3298770800234133,0.6969654951639791,0.3270973399590763,0.6966780743201291,5.910586463403441,0.4285691080197102
0.01438449888287663,2,49,352.0463879349918,0.3280374613261978,0.709088363307009,0.3250511546331482,0.7032362552937237,5.966887931101556,0.3966909196984032
0.023357214690901212,0,47,340.33450662299583,0.34384145831591273,0.6096092223845565,0.34171294942999125,0.609971128300444,5.970780817947295,0.41081014930865845
